%time,field.buf0,field.buf1,field.buf2,field.buf3,field.buf4,field.buf5,field.buf6,field.buf7,field.buf8,field.buf9,field.buf10,field.buf11,field.buf12,field.buf13,field.buf14,field.buf15,field.buf16,field.buf17,field.buf18,field.buf19,field.buf20,field.buf21,field.buf22,field.buf23,field.buf24,field.buf25,field.buf26,field.buf27,field.buf28,field.buf29,field.buf30,field.buf31,field.buf32,field.buf33,field.buf34,field.buf35,field.buf36,field.buf37,field.buf38,field.buf39,field.buf40,field.buf41,field.buf42,field.buf43,field.buf44,field.buf45,field.buf46,field.buf47,field.buf48
1562068990363835512,145,139,132,164,34,0,0,0,74,72,170,76,33,0,0,0,142,78,156,76,33,0,0,0,0,0,68,61,0,0,82,189,0,64,124,191,0,192,218,190,0,184,136,62,0,244,123,191,0
1562068990373120597,92,71,29,165,34,0,0,0,234,19,67,77,33,0,0,0,246,1,53,77,33,0,0,0,0,0,63,61,0,0,75,189,0,0,124,191,0,20,77,191,0,224,43,62,0,76,154,191,0
1562068990383231495,36,187,181,165,34,0,0,0,210,146,219,77,33,0,0,0,44,121,205,77,33,0,0,0,0,0,38,61,0,0,82,189,0,208,123,191,0,136,16,191,0,240,210,190,0,202,133,191,0
1562068990393185792,237,46,78,166,34,0,0,0,186,12,116,78,33,0,0,0,4,254,101,78,33,0,0,0,0,0,44,61,0,0,116,189,0,160,124,191,0,112,20,191,0,0,250,189,0,12,120,191,0
1562068990404412088,184,234,230,166,34,0,0,0,86,245,12,79,33,0,0,0,68,192,254,78,33,0,0,0,0,0,33,61,0,0,109,189,0,128,126,191,0,80,67,191,0,0,250,187,0,232,128,191,0
1562068990413104057,128,94,127,167,34,0,0,0,46,92,165,79,33,0,0,0,164,63,151,79,33,0,0,0,0,0,26,61,0,0,100,189,0,176,125,191,0,56,199,190,0,192,218,189,0,108,104,191,0
1562068990430596806,75,26,24,168,34,0,0,0,18,17,62,80,33,0,0,0,164,206,47,80,33,0,0,0,0,0,10,61,0,0,87,189,0,96,124,191,0,164,53,191,0,32,75,190,0,36,116,191,0
1562068990433220284,20,142,176,168,34,0,0,0,232,176,214,80,33,0,0,0,50,112,200,80,33,0,0,0,0,0,39,61,0,0,104,189,0,208,125,191,0,68,69,191,0,16,36,190,0,60,112,191,0
1562068990443203484,222,73,73,169,34,0,0,0,6,9,111,81,33,0,0,0,240,255,96,81,33,0,0,0,0,0,52,61,0,0,103,189,0,176,124,191,0,136,16,191,0,32,203,189,0,124,146,191,0
1562068990456766290,167,189,225,169,34,0,0,0,82,101,7,82,33,0,0,0,98,99,249,81,33,0,0,0,0,0,38,61,0,0,86,189,0,64,127,191,0,16,36,191,0,0,122,188,0,178,137,191,0
1562068990463191799,114,121,122,170,34,0,0,0,238,62,160,82,33,0,0,0,112,42,146,82,33,0,0,0,0,0,65,61,0,0,88,189,0,128,125,191,0,180,92,191,0,192,218,189,0,214,131,191,0
1562068990473177098,58,237,18,171,34,0,0,0,216,177,56,83,33,0,0,0,112,170,42,83,33,0,0,0,0,0,45,61,0,0,62,189,0,128,125,191,0,52,30,191,0,192,90,61,0,48,114,191,0
1562068990483188012,3,97,171,171,34,0,0,0,54,121,209,83,33,0,0,0,120,69,195,83,33,0,0,0,0,0,54,61,0,0,77,189,0,208,123,191,0,84,108,191,0,32,203,61,0,232,128,191,0
1562068990493108946,206,28,68,172,34,0,0,0,38,205,105,84,33,0,0,0,56,171,91,84,33,0,0,0,0,0,38,61,0,0,99,189,0,112,123,191,0,52,30,191,0,128,59,61,0,88,152,191,0
1562068990503294326,151,144,220,172,34,0,0,0,8,132,2,85,33,0,0,0,196,108,244,84,33,0,0,0,0,0,25,61,0,0,89,189,0,192,125,191,0,44,73,191,0,0,250,60,0,112,148,191,0
1562068990513202081,97,76,117,173,34,0,0,0,98,69,155,85,33,0,0,0,122,29,141,85,33,0,0,0,0,0,34,61,0,0,91,189,0,16,124,191,0,152,183,190,0,40,160,190,0,36,116,191,0
1562068990523263343,44,8,14,174,34,0,0,0,96,214,51,86,33,0,0,0,78,181,37,86,33,0,0,0,0,0,32,61,0,0,91,189,0,112,124,191,0,184,8,191,0,96,234,189,0,0,122,191,0
1562068990534016638,244,123,166,174,34,0,0,0,64,78,204,86,33,0,0,0,50,56,190,86,33,0,0,0,0,0,45,61,0,0,80,189,0,112,123,191,0,40,32,191,0,0,122,188,0,48,114,191,0
1562068990543041102,189,239,62,175,34,0,0,0,240,170,100,87,33,0,0,0,110,149,86,87,33,0,0,0,0,0,31,61,0,0,81,189,0,144,125,191,0,152,55,191,0,192,218,189,0,48,114,191,0
1562068990553220210,136,171,215,175,34,0,0,0,222,65,253,87,33,0,0,0,74,62,239,87,33,0,0,0,0,0,60,61,0,0,70,189,0,208,125,191,0,176,51,191,0,160,140,61,0,228,84,191,0
1562068990563053811,82,103,112,176,34,0,0,0,72,248,149,88,33,0,0,0,144,235,135,88,33,0,0,0,0,0,60,61,0,0,57,189,0,112,124,191,0,100,22,191,0,192,90,189,0,244,123,191,0
